arc_id,arc_name,arc_order
1,Romance Dawn Arc,1
2,Orange Town Arc,2
3,Syrup Village Arc,3
4,Baratie Arc,4
5,Arlong Park Arc,5
6,Loguetown Arc,6
7,Buggy’s Crew Adventure Chronicles,7
8,Warship Island Arc,8
9,Reverse Mountain Arc,9
10,Whisky Peak Arc,10
11,Diary of Koby and Helmeppo Arc,11
12,Little Garden Arc,12
13,Drum Island Arc,13
14,Arabasta Arc,14
15,Inside Arabasta Arc,15
16,Post-Arabasta Arc,16
17,Goat Island Arc,17
18,Ruluka Island Arc,18
19,Jaya Arc,19
20,Skypiea Arc,20
21,G-8 Arc,21
22,Long Ring Long Land Arc,22
23,Ocean’s Dream Arc,23
24,Foxy’s Return Arc,24
25,Water 7 Arc,25
26,Enies Lobby Arc,26
27,Straw Hat’s Backstories Arc,27
28,Boss Luffy Historical Special,28
29,Post-Enies Lobby Arc,29
30,Post-Enies Lobby Fillers,30
31,Ice Hunter Arc,31
32,Thriller Bark Arc,32
33,Spa Island Arc,33
34,Sabaody Archipelago Arc,34
35,Boss Luffy Arc 2.0,35
36,Amazon Lily Arc,36
37,Straw Hat’s Separation Serial Arc,37
38,Impel Down Arc,38
39,Little East Blue Arc,39
40,A Special Retrospective Before Marineford Arc,40
41,Marineford Arc,41
42,Post-War Arc,42
43,One Piece x Toriko Crossover,43
44,Luffy’s Past,44
45,Straw Hats Reaction,45
46,Return to Sabaody Arc,46
47,Fish-Man Island Arc,47
48,One Piece x Toriko Crossover 2,48
49,Z’s Ambition Arc,49
50,Punk Hazard Arc,50
51,One Piece x Toriko x Dragon Ball Crossover,51
52,Caesar Retrieval Arc,52
53,Dressrosa Arc,53
54,Silver Mine Arc,54
55,Zou Arc,55
56,Straw Hats Rescue Operation,56
57,Marine Rookie Arc,57
58,Whole Cake Island Arc,58
59,Reverie/ Levely Arc,59
60,Wano Country Arc,60
61,Cidre Guild Arc,61
62,One Piece Anime 20th Anniversary Special Romance Dawn,62
63,Uta’s Past,63
64,Time to Depart – Wano Country and the Straw Hats,64
65,Egghead Arc,65
