card_faction_id,card_id,faction_name
1,EB01-006-0,Animal
2,EB01-006-0,Straw Hat Crew
3,OP01-006-1,Land of Wano
4,OP01-006-2,Land of Wano
5,OP01-006-3,Land of Wano
6,OP01-006-0,Land of Wano
7,OP01-016-7,Straw Hat Crew
8,OP01-024-2,Supernovas
9,OP01-024-2,Straw Hat Crew
10,OP01-024-0,Supernovas
11,OP01-024-0,Straw Hat Crew
12,OP01-029-3,Straw Hat Crew
13,OP01-029-4,Straw Hat Crew
14,OP01-029-0,Straw Hat Crew
15,OP01-033-2,Land of Wano
16,OP01-033-2,Former Whitebeard Pirates
17,OP01-033-3,Land of Wano
18,OP01-033-3,Former Whitebeard Pirates
19,OP01-033-4,Land of Wano
20,OP01-033-4,Former Whitebeard Pirates
21,OP01-033-0,Land of Wano
22,OP01-033-0,Former Whitebeard Pirates
23,OP01-041-2,Land of Wano
24,OP01-041-2,Kouzuki Clan
25,OP01-041-3,Land of Wano
26,OP01-041-3,Kouzuki Clan
27,OP01-041-4,Land of Wano
28,OP01-041-4,Kouzuki Clan
29,OP01-041-0,Land of Wano
30,OP01-041-0,Kouzuki Clan
31,OP01-047-3,Supernovas
32,OP01-047-3,Heart Pirates
33,OP01-047-0,Supernovas
34,OP01-047-0,Heart Pirates
35,OP01-051-3,Supernovas
36,OP01-051-3,Kid Pirates
37,OP01-051-0,Supernovas
38,OP01-051-0,Kid Pirates
39,OP01-052-1,Land of Wano
40,OP01-052-1,The Akazaya Nine
41,OP01-052-2,Land of Wano
42,OP01-052-2,The Akazaya Nine
43,OP01-052-0,Land of Wano
44,OP01-052-0,The Akazaya Nine
45,OP01-070-3,The Seven Warlords of the Sea
46,OP01-070-0,The Seven Warlords of the Sea
47,OP01-078-3,The Seven Warlords of the Sea
48,OP01-078-3,Kuja Pirates
49,OP01-078-0,The Seven Warlords of the Sea
50,OP01-078-0,Kuja Pirates
51,OP01-120-5,The Four Emperors
52,OP01-120-5,Red-Haired Pirates
53,OP01-120-0,The Four Emperors
54,OP01-120-0,Red-Haired Pirates
55,OP01-121-3,Land of Wano
56,OP01-121-0,Land of Wano
57,OP02-004-4,The Four Emperors
58,OP02-004-4,Whitebeard Pirates
59,OP02-004-0,The Four Emperors
60,OP02-004-0,Whitebeard Pirates
61,OP02-013-0,Whitebeard Pirates
62,OP02-015-1,Windmill Village
63,OP02-015-2,Windmill Village
64,OP02-015-0,Windmill Village
65,OP02-018-3,Whitebeard Pirates
66,OP02-018-4,Whitebeard Pirates
