card_id,card_code,card_art_variant,card_name,character_id,card_rarity,card_color,card_expansion,card_power,card_cost,card_counter,card_effect,card_trigger,card_image,card_banned,is_character_card
EB01-006-0,EB01-006,0,Tony Tony.Chopper,175.0,SR,Red,EB01,4000.0,3.0,1000.0,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_r1.png?250502,0,True
OP01-006-1,OP01-006,1,Otama,1390.0,UC,Red,OP01,,1.0,2000.0,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p1.png?250502,0,True
OP01-006-2,OP01-006,2,Otama,1390.0,UC,Red,OP01,,1.0,2000.0,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p2.png?250502,0,True
OP01-006-3,OP01-006,3,Otama,1390.0,UC,Red,OP01,,1.0,2000.0,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_p3.png?250502,0,True
OP01-006-0,OP01-006,0,Otama,1390.0,UC,Red,OP01,,1.0,2000.0,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006_r1.png?250502,0,True
OP01-016-7,OP01-016,7,Nami,515.0,R,Red,OP01,2000.0,1.0,1000.0,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-016_p7.png?250502,0,True
OP01-024-2,OP01-024,2,Monkey.D.Luffy,558.0,SR,Red,OP01,3000.0,2.0,1000.0,[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.,,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024_p2.png?250502,0,True
OP01-024-0,OP01-024,0,Monkey.D.Luffy,558.0,SR,Red,OP01,3000.0,2.0,1000.0,[DON!! x2] This Character cannot be K.O.'d in battle by <Strike> attribute Characters.[Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.,,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-024_r1.png?250502,0,True
OP01-029-3,OP01-029,3,Radical Beam!!,,UC,Red,OP01,,1.0,,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p3.png?250502,0,False
OP01-029-4,OP01-029,4,Radical Beam!!,,UC,Red,OP01,,1.0,,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,https://en.onepiece-cardgame.com/images/cardlist/card/OP01-029_p4.png?250502,0,False
