appearance_id,episode_id,character_id,appearance_order
1,1,515,1
2,1,1369,2
3,1,730,3
4,1,904,4
5,1,436,5
6,1,422,6
7,1,558,7
8,1,357,8
9,2,558,1
10,2,730,2
11,2,357,3
12,2,376,4
13,2,908,5
14,2,248,6
15,2,377,7
16,2,515,8
17,2,550,9
18,2,283,10
19,2,362,11
20,2,149,12
21,3,357,1
22,3,558,2
23,3,550,3
24,3,730,4
25,3,908,5
26,3,515,6
27,3,1280,7
28,3,376,8
29,3,377,9
30,3,953,10
31,3,374,11
32,3,290,12
33,4,20,1
34,4,515,2
35,4,558,3
36,4,357,4
37,4,290,5
38,4,653,6
39,4,13,7
40,4,82,8
41,4,663,9
42,4,1272,10
43,4,641,11
44,4,898,12
45,4,1293,13
46,4,90,14
47,4,654,15
48,4,428,16
49,4,1280,18
50,5,515,1
51,5,428,3
52,5,558,4
53,5,1280,5
54,5,357,6
55,5,20,7
56,6,1280,1
57,6,515,2
58,6,558,3
59,6,357,4
60,6,382,5
61,6,566,6
62,6,1143,7
63,6,1290,8
64,6,884,9
65,7,382,1
66,7,558,2
67,7,1143,3
68,7,566,4
69,7,357,5
70,7,515,6
71,7,1280,7
72,7,1290,8
73,7,1265,9
74,7,290,10
75,7,654,11
76,7,653,12
77,7,82,13
78,7,13,14
79,8,357,1
80,8,1265,2
81,8,558,3
82,8,515,4
83,8,1280,5
84,8,1290,6
85,8,566,7
86,8,290,8
87,8,264,9
88,8,418,10
89,8,1143,11
90,8,20,12
91,8,136,13
92,9,136,1
93,9,515,2
94,9,357,3
95,9,558,4
96,9,493,5
97,9,427,6
98,9,208,7
99,9,82,8
100,9,653,9
101,9,37,10
102,9,759,11
103,9,694,12
104,9,822,13
105,10,136,1
106,10,759,2
107,10,558,3
108,10,357,4
109,10,208,5
110,10,427,6
111,10,493,7
112,10,515,8
113,10,694,9
114,10,822,10
115,10,37,11
116,10,481,12
117,11,822,1
118,11,694,2
119,11,136,3
120,11,558,4
121,11,515,5
122,11,357,6
123,11,759,7
124,11,493,8
125,11,208,9
126,11,427,10
127,11,607,11
128,12,136,1
129,12,759,2
130,12,607,3
