character_id,canonical_name,japanese_name,romanized_name,official_english_name,origin,residence,debut_episodes_id,debut_manga_id,affiliations,status,age_at_death,height_cm,blood_type,devil_fruit,devil_fruit_type,birthday,liveaction_portrayal,name_meaning
1,A.O.,A・O（アー・オー）,Ā Ō,A.O. (VIZ Media and FUNimation subs);A.O (FUNimation dub),,,460.0,551.0,A O Pirates; Subordinate of the Whitebeard Pirates,Unknown,,,,,,January 15th,,
2,Bizarre,ビザール,Bizāru,Bizarre,,,468.0,553.0,Subordinate of the Whitebeard Pirates,Alive,,,,,,February 3rd,,
3,Beeyo,ビヨ,Biyo,Beeyo (Viz);Biyo (Funimation subs),,,583.0,658.0,,Alive,,,,,,,,
4,Bishamon,ビシャ門,Bishamon,Bishamon,Wano Country,"Flower Capital, Wano Country",925.0,931.0,Beasts Pirates; Orochi Oniwabanshu (former); Kurozumi Family (former),Alive,,182.0,XF,,,August 1st,,
5,BB,BB（ブラックバック）,Bībī (Burakkubakku),BB (Blackback)BB (Black Back) (WT100),,Zou (Whale Forest),754.0,805.0,Mokomo Dukedom; Guardians;,Alive,,,,,,,,
6,Black Maria,"Kumo Kumo no Mi, Model: Rosamygale Grauvogeli",Burakkumaria,Black Maria,Wano Country,Onigashima,982.0,977.0,Beasts Pirates (Tobiroppo),Alive,,820.0,S,Spider-Spider Fruit,Ancient Zoan,September 24th,,Spider
7,Bimine,ビミネ,Bimine,Bimine,,Pucci,,657.0,,Alive,,,,,,,,
8,Bingoh,びん豪,Bingō,Bingoh,,Wano Country (Ebisu Town),921.0,928.0,,Alive,,,,,,,,
9,Big Bun,ビッグパン,Biggu Pan,Big Bun (Viz);Big Pan (FUNimation),,,210.0,309.0,Foxy Pirates; Groggy Monsters,Alive,,,,,,May 25th,,
10,Bian,"Mushi Mushi no Mi, Model: Suzumebachi",Bian,Bian,,,647.0,717.0,Tontatta Kingdom; Tontatta Pirates; Straw Hat Grand Fleet,Alive,,,,Bug-Bug Fruit,Zoan,,,Insect; Hornet
11,Belle-Mère,ベルメール,Berumēru,Belle-Mère (VIZ Media);Bellemere (Funimation)Bell-mère (OPCG),East Blue (Conomi Islands),Cocoyasi Village,32.0,77.0,Marines (former),Deceased,30.0,186.0,S,,,December 3rd,Genna Galloway,
12,Bepo,ベポ,Bepo,Bepo,Zou,Zou (former);Swallow Island (former),392.0,498.0,Heart Pirates,Alive,,240.0,S,,,November 20th (Fur Day),,
13,Benn Beckman,ベン・ベックマン,Ben Bekkuman,"Benn Beckman;Ben Beckman (VIZ, formerly)",North Blue,,4.0,1.0,Red Hair Pirates,Alive,,206.0,X,,,November 9th,Laudo Liebenberg,
14,Bellamy,Bane Bane no Mi,Beramī,Bellamy,,Dressrosa (former)Notice (former),146.0,222.0,Donquixote Pirates (former); Bellamy Pirates (former),Alive,,240.0,F,Boing-Boing Fruit,Paramecia,August 7th,,Spring
15,Bentham,Mane Mane no Mi,Bensamu,Bentham,East Blue,,78.0,129.0,Newkama Land; Baroque Works (former),Alive,,238.0,F,Clone-Clone Fruit,Paramecia,August 15th,,Imitation
16,Beret,ベレット,Beretto,Beret,,,439.0,537.0,Unnamed kingdom (former),Alive,,,,,,,,
17,Yonta Maria Fleet,ヨンタマリア大船団,Yonta Maria Dai-sendan,Yonta Maria Fleet,,,,,,,,,,,,,,
18,Vinsmoke Family,ヴィンスモーク家,Vinsumōku-ke,Vinsmoke Family,,,,,,Extant,,,,,,,,
19,Tontatta Pirates,トンタッタ海賊団,Tontatta Kaizokudan,Tontatta Pirates,,,,,,,,,,,,,,
20,Tightrope Funan Boros,綱渡りフナンボローズ,Tsunawatari Funan Borōzu,Tightrope Funan Boros,East Blue,"Buggy Town, Karai Bari Island (Non-Canon)≠",4.0,8.0,Buggy Pirates;Buggy and Alvida Alliance (Non-Canon)≠;Buggy's Delivery (Non-Canon)≠,Alive,,,,,,February 25th,Sizo MahlanguGreg Parvess,
21,Black Beard Pirates,黒ひげ海賊団,Kurohige Kaizokudan,Black Beard Pirates (Edited dub);Blackbeard Pirates (Uncut dub),,,,,,,,,,,,,,
22,Big Mom Pirates,ビッグ・マム海賊団,Biggu Mamu Kaizokudan,Big Mom Pirates,,,,,,,,,,,,,,
23,Straw Hat Pirates,麦わらの一味,Mugiwara no Ichimi,Straw Hat Pirates;Straw Hat Crew (OPCG),,,,,,,,,,,,,,
24,Straw Hat Grand Fleet,麦わら大船団,Mugiwara Dai-sendan,Straw Hat Grand FleetStraw Hat Fleet (Funimation subs),,,,,,,,,,,,,,
25,Riku Dynasty,リク一族,Riku Ichizoku,Riku Dynasty (Viz)Riku Family (Funimation),,,,,,Extant,,,,,,,,
26,Orochi's Oniwabanshu,オロチお庭番衆,Orochi Oniwabanshū,Orochi's Oniwabanshu,,,,,,,,,,,,,,
